Session_ID,Date,Course,Instructor,Modality,Day,Start_Time,End_Time,Branch,Capacity,Students_Enrolled,Attendance_Rate,Cancelations,Price_USD,Revenue_USD
1001,2024-01-01,Salsa,Marcos,Virtual,Monday,19:00,20:30,Centro,30,27,1.0,0,10,268.96
1002,2024-01-01,Contemporáneo,Valeria,Presencial,Monday,18:00,19:30,Centro,25,21,0.93,1,9,175.87
1003,2024-01-02,Bachata,Lucía,Virtual,Tuesday,17:00,18:30,Centro,30,23,0.85,2,10,196.36
1004,2024-01-02,Contemporáneo,Valeria,Presencial,Tuesday,12:00,13:30,Centro,25,16,0.85,2,9,122.67
1005,2024-01-02,Tango,Carla,Presencial,Tuesday,17:00,18:30,Centro,25,17,0.77,4,12,157.7
1006,2024-01-03,Contemporáneo,Valeria,Presencial,Wednesday,17:00,18:30,Centro,25,21,0.85,2,9,161.45
1007,2024-01-03,Hip-Hop,Diego,Virtual,Wednesday,17:00,18:30,Centro,30,23,0.91,2,9,187.42
1008,2024-01-04,Salsa,Marcos,Presencial,Thursday,18:00,19:30,Norte,25,24,0.86,2,10,206.15
1009,2024-01-05,Bachata,Lucía,Presencial,Friday,12:00,13:30,Centro,25,25,0.89,2,10,222.14
1010,2024-01-05,Salsa,Marcos,Presencial,Friday,18:00,19:30,Sur,25,22,0.84,2,10,184.98
1011,2024-01-06,Contemporáneo,Valeria,Presencial,Saturday,12:00,13:30,Centro,25,20,0.89,2,9,159.61
1012,2024-01-06,Hip-Hop,Diego,Virtual,Saturday,13:30,15:00,Sur,30,25,0.95,1,9,213.88
1013,2024-01-08,Contemporáneo,Valeria,Virtual,Monday,17:00,18:30,Norte,30,22,0.86,3,9,171.18
1014,2024-01-08,Tango,Carla,Presencial,Monday,18:00,19:30,Norte,25,19,0.86,2,12,195.96
1015,2024-01-09,Hip-Hop,Diego,Virtual,Tuesday,19:00,20:30,Sur,30,22,0.92,2,9,181.41
1016,2024-01-09,Tango,Carla,Presencial,Tuesday,18:00,19:30,Centro,25,19,0.96,1,12,218.48
1017,2024-01-10,Bachata,Lucía,Presencial,Wednesday,19:00,20:30,Norte,25,21,0.87,2,10,181.66
1018,2024-01-11,Salsa,Marcos,Presencial,Thursday,17:00,18:30,Centro,25,25,0.89,2,10,223.52
1019,2024-01-11,Contemporáneo,Valeria,Presencial,Thursday,19:00,20:30,Sur,25,22,0.94,1,9,185.71
1020,2024-01-11,Bachata,Lucía,Presencial,Thursday,19:00,20:30,Sur,25,21,0.93,1,10,194.97
1021,2024-01-12,Contemporáneo,Valeria,Presencial,Friday,17:00,18:30,Sur,25,22,0.81,4,9,159.75
1022,2024-01-12,Tango,Carla,Presencial,Friday,20:00,21:30,Centro,25,14,0.9,1,12,150.74
1023,2024-01-13,Contemporáneo,Valeria,Virtual,Saturday,13:30,15:00,Centro,30,27,0.78,5,9,189.27
1024,2024-01-13,Salsa,Marcos,Virtual,Saturday,12:00,13:30,Centro,30,23,0.92,1,10,211.3
1025,2024-01-15,Contemporáneo,Valeria,Presencial,Monday,12:00,13:30,Centro,25,20,0.9,1,9,161.11
1026,2024-01-15,Tango,Carla,Virtual,Monday,19:00,20:30,Centro,30,24,0.82,4,12,236.88
1027,2024-01-16,Contemporáneo,Valeria,Presencial,Tuesday,17:00,18:30,Centro,25,24,0.95,1,9,205.12
1028,2024-01-16,Bachata,Lucía,Virtual,Tuesday,17:00,18:30,Norte,30,22,0.85,2,10,187.37
1029,2024-01-17,Bachata,Lucía,Presencial,Wednesday,17:00,18:30,Centro,25,17,0.88,2,10,150.18
1030,2024-01-17,Tango,Carla,Virtual,Wednesday,18:00,19:30,Centro,30,23,0.87,2,12,240.66
1031,2024-01-18,Salsa,Marcos,Virtual,Thursday,20:00,21:30,Sur,30,24,0.95,1,10,227.47
1032,2024-01-19,Tango,Carla,Presencial,Friday,19:00,20:30,Sur,25,20,0.87,2,12,208.73
1033,2024-01-19,Hip-Hop,Diego,Presencial,Friday,18:00,19:30,Sur,25,21,0.85,3,9,161.4
1034,2024-01-20,Tango,Carla,Virtual,Saturday,17:00,18:30,Sur,30,22,0.89,2,12,235.39
1035,2024-01-20,Contemporáneo,Valeria,Presencial,Saturday,13:30,15:00,Norte,25,23,0.82,4,9,169.57
1036,2024-01-20,Salsa,Marcos,Presencial,Saturday,17:00,18:30,Norte,25,22,0.96,1,10,211.06
1037,2024-01-22,Salsa,Marcos,Virtual,Monday,12:00,13:30,Centro,30,27,1.0,0,10,270.0
1038,2024-01-22,Bachata,Lucía,Presencial,Monday,18:00,19:30,Sur,25,23,0.87,3,10,199.64
1039,2024-01-23,Bachata,Lucía,Presencial,Tuesday,20:00,21:30,Centro,25,17,0.88,2,10,149.31
1040,2024-01-23,Hip-Hop,Diego,Presencial,Tuesday,19:00,20:30,Sur,25,19,0.94,1,9,161.45
1041,2024-01-24,Contemporáneo,Valeria,Presencial,Wednesday,19:00,20:30,Sur,25,22,0.88,3,9,173.52
1042,2024-01-24,Bachata,Lucía,Presencial,Wednesday,17:00,18:30,Centro,25,24,0.86,2,10,207.09
1043,2024-01-24,Tango,Carla,Presencial,Wednesday,18:00,19:30,Centro,25,19,0.9,2,12,205.03
1044,2024-01-25,Salsa,Marcos,Virtual,Thursday,20:00,21:30,Norte,30,25,0.86,3,10,215.71
1045,2024-01-25,Tango,Carla,Virtual,Thursday,19:00,20:30,Sur,30,19,0.95,1,12,216.39
1046,2024-01-26,Salsa,Marcos,Virtual,Friday,19:00,20:30,Sur,30,28,0.96,1,10,269.81
1047,2024-01-26,Bachata,Lucía,Presencial,Friday,18:00,19:30,Centro,25,25,0.91,2,10,228.14
1048,2024-01-26,Tango,Carla,Presencial,Friday,20:00,21:30,Centro,25,21,0.84,2,12,210.98
1049,2024-01-27,Hip-Hop,Diego,Presencial,Saturday,12:00,13:30,Sur,25,23,0.92,1,9,191.27
1050,2024-01-27,Contemporáneo,Valeria,Presencial,Saturday,13:30,15:00,Centro,25,23,0.83,4,9,171.01
1051,2024-01-29,Bachata,Lucía,Presencial,Monday,12:00,13:30,Norte,25,21,0.85,3,10,177.96
1052,2024-01-29,Contemporáneo,Valeria,Virtual,Monday,12:00,13:30,Sur,30,24,0.9,2,9,194.85
1053,2024-01-30,Tango,Carla,Presencial,Tuesday,12:00,13:30,Centro,25,17,0.96,0,12,196.47
1054,2024-01-30,Hip-Hop,Diego,Presencial,Tuesday,20:00,21:30,Centro,25,25,0.94,1,9,211.56
1055,2024-01-31,Tango,Carla,Virtual,Wednesday,12:00,13:30,Centro,30,27,0.93,1,12,301.85
1056,2024-01-31,Bachata,Lucía,Presencial,Wednesday,20:00,21:30,Centro,25,20,0.97,0,10,194.72
1057,2024-01-31,Salsa,Marcos,Presencial,Wednesday,17:00,18:30,Norte,25,21,0.86,2,10,180.1
1058,2024-02-01,Salsa,Marcos,Presencial,Thursday,18:00,19:30,Sur,25,25,0.85,3,10,212.05
1059,2024-02-01,Contemporáneo,Valeria,Virtual,Thursday,18:00,19:30,Sur,30,23,0.88,2,9,182.79
1060,2024-02-02,Hip-Hop,Diego,Presencial,Friday,20:00,21:30,Sur,25,22,1.0,0,9,198.0
1061,2024-02-02,Salsa,Marcos,Presencial,Friday,20:00,21:30,Centro,25,25,0.89,2,10,222.22
1062,2024-02-03,Contemporáneo,Valeria,Presencial,Saturday,13:30,15:00,Norte,25,21,0.92,1,9,174.35
1063,2024-02-03,Hip-Hop,Diego,Presencial,Saturday,17:00,18:30,Centro,25,25,0.95,1,9,213.54
1064,2024-02-03,Tango,Carla,Presencial,Saturday,12:00,13:30,Centro,25,23,0.91,2,12,251.3
1065,2024-02-05,Salsa,Marcos,Virtual,Monday,19:00,20:30,Centro,30,27,0.91,2,10,245.67
1066,2024-02-05,Tango,Carla,Virtual,Monday,17:00,18:30,Norte,30,21,0.89,2,12,225.06
