Campaign_ID,Brand_ID,Creator_ID,Platform,Start_Date,End_Date,Cost_USD,Impressions,Revenue_USD,Objective
CA001,BR022,CR022,YouTube,2025-08-22,2025-09-13,3500,3071365,8412,Conversion
CA002,BR017,CR033,TikTok,2025-07-24,2025-08-12,3500,1697295,6387,Awareness
CA003,BR034,CR052,YouTube,2025-07-06,2025-07-19,5144,3621226,6219,Consideration
CA004,BR009,CR011,TikTok,2025-09-13,2025-09-29,3717,3930970,8451,Lead Gen
CA005,BR020,CR041,TikTok,2025-08-03,2025-08-19,4398,677757,10790,Consideration
CA006,BR012,CR013,TikTok,2025-09-06,2025-09-30,4104,1857864,4252,Awareness
CA007,BR031,CR032,TikTok,2025-09-16,2025-09-27,3500,1375217,7296,Lead Gen
CA008,BR004,CR020,TikTok,2025-08-01,2025-08-25,3500,3228537,4294,Awareness
CA009,BR021,CR040,Instagram,2025-08-07,2025-08-28,3500,374237,12250,Conversion
CA010,BR013,CR009,TikTok,2025-09-11,2025-10-06,3500,5556420,7885,Consideration
CA011,BR006,CR073,YouTube,2025-07-06,2025-07-24,3752,2249453,4208,Awareness
CA012,BR031,CR008,Instagram,2025-08-17,2025-09-06,3500,263212,8729,Awareness
CA013,BR016,CR021,TikTok,2025-09-18,2025-09-27,4207,3860519,8176,Lead Gen
CA014,BR005,CR013,YouTube,2025-09-03,2025-09-13,4525,591773,11791,Consideration
CA015,BR009,CR008,TikTok,2025-09-06,2025-09-28,3500,1507817,7998,Conversion
CA016,BR027,CR028,TikTok,2025-09-19,2025-10-09,3500,2241886,8354,Conversion
CA017,BR038,CR042,TikTok,2025-08-31,2025-09-12,3500,4189700,7560,Awareness
CA018,BR038,CR063,TikTok,2025-07-07,2025-07-30,3500,3610518,4079,Conversion
CA019,BR032,CR018,YouTube,2025-07-18,2025-07-29,3500,287318,6557,Lead Gen
CA020,BR004,CR030,TikTok,2025-07-23,2025-08-16,3741,2398638,8583,Consideration
CA021,BR021,CR047,Instagram,2025-09-03,2025-09-10,3500,156383,8250,Consideration
CA022,BR009,CR080,Instagram,2025-08-14,2025-09-06,3837,1822435,4828,Consideration
CA023,BR035,CR072,YouTube,2025-08-24,2025-09-15,4369,2169841,5598,Conversion
CA024,BR018,CR059,YouTube,2025-09-20,2025-10-10,3500,1126527,3484,Awareness
CA025,BR010,CR076,Instagram,2025-08-26,2025-09-16,3500,2681272,4743,Awareness
CA026,BR031,CR036,YouTube,2025-08-15,2025-09-02,4082,332636,9096,Consideration
CA027,BR039,CR014,TikTok,2025-09-09,2025-10-03,3500,1585710,9428,Conversion
CA028,BR039,CR004,TikTok,2025-07-30,2025-08-07,3500,7074216,9902,Consideration
CA029,BR003,CR021,TikTok,2025-08-27,2025-09-09,3500,4269172,2100,Lead Gen
CA030,BR017,CR034,TikTok,2025-07-02,2025-07-20,3500,3661752,7619,Conversion
CA031,BR001,CR019,Instagram,2025-09-08,2025-09-24,4290,622272,7408,Conversion
CA032,BR038,CR037,YouTube,2025-07-07,2025-07-17,4326,1871056,9232,Awareness
CA033,BR040,CR006,TikTok,2025-09-01,2025-09-24,4265,2904888,5161,Lead Gen
CA034,BR031,CR038,TikTok,2025-09-02,2025-09-11,3500,2002335,6032,Consideration
CA035,BR024,CR012,Instagram,2025-07-30,2025-08-16,4009,329770,3882,Lead Gen
CA036,BR037,CR066,YouTube,2025-08-20,2025-08-29,3500,2625030,9701,Lead Gen
CA037,BR038,CR001,YouTube,2025-07-26,2025-08-10,6124,702967,10703,Awareness
CA038,BR014,CR066,Instagram,2025-07-23,2025-08-05,3500,3079889,4206,Awareness
CA039,BR035,CR048,Instagram,2025-08-27,2025-09-16,3500,1362788,4860,Awareness
CA040,BR012,CR002,Instagram,2025-07-07,2025-07-17,3500,1387265,7368,Lead Gen
CA041,BR028,CR057,Instagram,2025-08-12,2025-08-30,3500,720245,8402,Awareness
CA042,BR035,CR068,Instagram,2025-09-16,2025-09-28,3500,2639638,6110,Awareness
CA043,BR004,CR047,Instagram,2025-08-20,2025-09-12,3902,184848,11105,Awareness
CA044,BR025,CR036,YouTube,2025-08-06,2025-08-23,3500,1046467,8593,Consideration
CA045,BR002,CR077,Instagram,2025-09-16,2025-10-08,3500,1968674,7763,Consideration
CA046,BR003,CR041,TikTok,2025-07-05,2025-07-27,3500,530997,6172,Consideration
CA047,BR009,CR019,Instagram,2025-07-31,2025-08-22,3500,510492,6092,Conversion
CA048,BR020,CR074,YouTube,2025-07-26,2025-08-16,3500,1071258,5626,Conversion
CA049,BR010,CR034,Instagram,2025-09-19,2025-10-10,3500,992745,7012,Conversion
CA050,BR022,CR036,Instagram,2025-08-07,2025-08-16,3500,1481225,8589,Lead Gen
CA051,BR015,CR079,YouTube,2025-09-17,2025-10-04,3500,266118,7156,Consideration
CA052,BR033,CR070,YouTube,2025-07-08,2025-07-20,5047,3236421,11538,Lead Gen
CA053,BR015,CR049,TikTok,2025-09-17,2025-10-02,3500,2447659,3519,Conversion
CA054,BR038,CR030,YouTube,2025-09-05,2025-09-19,3500,1118199,2100,Awareness
CA055,BR025,CR003,TikTok,2025-08-19,2025-09-12,3500,1129330,3954,Conversion
CA056,BR012,CR038,Instagram,2025-09-19,2025-09-30,3500,1950856,7025,Conversion
CA057,BR033,CR053,TikTok,2025-09-14,2025-09-25,5418,4380578,9803,Conversion
CA058,BR018,CR078,Instagram,2025-07-20,2025-08-01,3500,1433002,5219,Conversion
CA059,BR026,CR032,TikTok,2025-07-30,2025-08-12,3500,2138633,9842,Consideration
CA060,BR019,CR039,TikTok,2025-09-15,2025-09-23,3500,1424007,5748,Consideration
CA061,BR021,CR057,TikTok,2025-08-27,2025-09-03,3500,695418,6427,Consideration
CA062,BR014,CR007,Instagram,2025-09-18,2025-09-30,3500,1682706,9325,Awareness
CA063,BR037,CR039,YouTube,2025-08-01,2025-08-09,3500,2313893,8032,Consideration
CA064,BR028,CR055,YouTube,2025-07-23,2025-08-13,4680,1508044,13373,Consideration
CA065,BR006,CR079,YouTube,2025-09-10,2025-10-03,3500,157833,8960,Consideration
CA066,BR024,CR069,TikTok,2025-07-14,2025-08-03,3500,658726,8511,Consideration
CA067,BR029,CR004,TikTok,2025-08-09,2025-08-21,3500,4494095,4268,Consideration
CA068,BR024,CR043,TikTok,2025-08-17,2025-09-05,3500,6073881,5804,Lead Gen
CA069,BR038,CR016,Instagram,2025-08-25,2025-09-14,4233,525065,2539,Consideration
CA070,BR032,CR059,YouTube,2025-07-30,2025-08-15,3500,1008278,6748,Consideration
CA071,BR011,CR017,TikTok,2025-09-14,2025-09-27,4393,2403177,2635,Consideration
CA072,BR020,CR009,YouTube,2025-09-02,2025-09-12,3500,2712636,3600,Conversion
CA073,BR013,CR048,TikTok,2025-07-23,2025-07-30,3500,5743284,3639,Lead Gen
CA074,BR037,CR003,YouTube,2025-09-09,2025-09-23,3871,1093801,4644,Awareness
CA075,BR037,CR049,Instagram,2025-08-02,2025-08-26,3500,1981695,10004,Conversion
CA076,BR020,CR018,YouTube,2025-07-20,2025-08-02,3725,554358,4827,Awareness
CA077,BR035,CR047,TikTok,2025-07-12,2025-08-01,3500,1454857,9499,Lead Gen
CA078,BR033,CR041,YouTube,2025-07-24,2025-08-14,3584,602518,8389,Awareness
CA079,BR013,CR026,Instagram,2025-09-08,2025-09-24,3500,1490480,3398,Lead Gen
CA080,BR030,CR053,TikTok,2025-07-04,2025-07-15,3995,3995393,9011,Conversion
CA081,BR007,CR056,YouTube,2025-08-26,2025-09-16,3500,2097699,6247,Awareness
CA082,BR025,CR016,TikTok,2025-09-02,2025-09-24,3500,667159,9086,Conversion
CA083,BR027,CR068,YouTube,2025-07-30,2025-08-17,3500,1392335,7805,Conversion
CA084,BR035,CR057,TikTok,2025-09-06,2025-09-15,3500,972407,4596,Awareness
CA085,BR005,CR016,TikTok,2025-08-14,2025-09-01,3500,699116,6589,Lead Gen
CA086,BR028,CR008,Instagram,2025-07-20,2025-08-01,3500,285002,6016,Consideration
CA087,BR027,CR028,TikTok,2025-08-12,2025-08-25,4600,2737546,7324,Consideration
CA088,BR010,CR006,TikTok,2025-09-09,2025-09-23,3500,2331484,7057,Conversion
CA089,BR019,CR006,Instagram,2025-07-21,2025-08-05,3500,899107,5969,Lead Gen
CA090,BR013,CR011,TikTok,2025-08-25,2025-09-01,4479,6784095,9723,Lead Gen
CA091,BR011,CR027,YouTube,2025-09-15,2025-09-29,3500,310571,3002,Conversion
CA092,BR026,CR011,Instagram,2025-09-17,2025-10-04,3500,131077,2100,Lead Gen
CA093,BR034,CR010,Instagram,2025-08-28,2025-09-05,3500,2357375,6640,Awareness
CA094,BR009,CR072,Instagram,2025-07-18,2025-08-02,3529,1810294,8096,Lead Gen
CA095,BR034,CR035,YouTube,2025-07-21,2025-08-04,4071,2459322,4625,Consideration
CA096,BR030,CR074,TikTok,2025-08-05,2025-08-24,3603,1967741,6592,Awareness
CA097,BR028,CR008,Instagram,2025-09-11,2025-10-01,3768,402247,9536,Conversion
CA098,BR002,CR079,YouTube,2025-07-10,2025-07-24,3978,135762,9532,Conversion
CA099,BR006,CR054,YouTube,2025-08-16,2025-08-28,3508,272023,4611,Conversion
CA100,BR023,CR036,Instagram,2025-09-08,2025-09-30,3500,2935329,5173,Awareness
