Creator_ID,Creator_Name,Content_Type,Family_Safe,Main_Country,Audience_Age_Main,Audience_Gender_Main,YouTube_Followers,Instagram_Followers,TikTok_Followers,Avg_Views_YT,Avg_Views_IG,Avg_Views_TT,Avg_Campaign_Cost_USD
CR001,Creator_01,Food,Yes,Argentina,18-24,Men,219724,409708,462447,28453,62977,205855,3000
CR002,Creator_02,Food,Yes,Peru,18-24,Men,298530,439253,289989,58419,84523,124446,3000
CR003,Creator_03,Finance,Yes,Peru,18-24,Women,261722,222221,708890,111217,62294,225866,3000
CR004,Creator_04,Tech Reviews,No,Mexico,25-34,Women,563888,227058,638374,84408,33827,236652,3000
CR005,Creator_05,Tech Reviews,Yes,Argentina,18-24,Women,368192,235207,423657,9615,13707,88973,3000
CR006,Creator_06,Travel,Yes,Mexico,18-24,Women,329164,300313,523233,59130,66877,104366,3000
CR007,Creator_07,Wellness,Yes,Mexico,25-34,Women,303092,363119,470788,75486,142121,151260,3000
CR008,Creator_08,Wellness,Yes,Peru,25-34,Men,618577,157651,264182,240934,21465,74755,3000
CR009,Creator_09,Sustainability,Yes,Peru,18-24,Men,421885,463037,602347,141564,63984,216535,3000
CR010,Creator_10,News/Commentary,No,Argentina,18-24,Women,190848,455903,541085,48407,82679,86666,3000
CR011,Creator_11,Tech/Education,Yes,Colombia,25-34,Women,406213,208573,594331,65897,6289,228207,3000
CR012,Creator_12,Wellness,Yes,Colombia,18-24,Men,334876,207873,179106,117347,30119,79898,3000
CR013,Creator_13,Fitness,Yes,Argentina,25-34,Women,312229,180551,310131,47770,66257,91937,3000
CR014,Creator_14,Education,Yes,Chile,13-17,Women,197918,319914,596679,44175,90372,102356,3000
CR015,Creator_15,Comedy,Yes,Peru,25-34,Mixed,483028,333291,621308,44327,85650,335401,3000
CR016,Creator_16,Automotive,No,Colombia,18-24,Mixed,354097,319750,140704,100596,22884,33379,3000
CR017,Creator_17,Travel,No,Argentina,18-24,Men,261774,355137,571911,71281,32077,141120,3000
CR018,Creator_18,Tech Reviews,Yes,Colombia,13-17,Men,141995,299664,379184,36870,77870,167171,3000
CR019,Creator_19,Beauty,No,Argentina,13-17,Men,482481,384971,533152,98854,46279,90634,3000
CR020,Creator_20,Tech/Education,Yes,Mexico,13-17,Men,388602,383704,468520,80084,132177,202347,3000
CR021,Creator_21,Sports,Yes,Peru,25-34,Women,303688,359324,673095,84007,87863,174192,3000
CR022,Creator_22,Sustainability,Yes,Argentina,13-17,Men,500345,243636,399496,135246,54257,55454,3000
CR023,Creator_23,Kids/Education,Yes,Colombia,25-34,Women,192641,288474,461078,39982,89479,122500,3000
CR024,Creator_24,Travel,Yes,Colombia,25-34,Men,326724,314743,525671,99080,40327,227282,3000
CR025,Creator_25,Food,No,Argentina,18-24,Women,359507,269816,262651,87716,37973,75457,3000
CR026,Creator_26,Automotive,No,Argentina,18-24,Men,526632,333812,328316,115159,70501,94997,3000
CR027,Creator_27,Sustainability,Yes,Colombia,25-34,Women,482442,230517,295704,21920,35981,53876,3000
CR028,Creator_28,Food,Yes,Argentina,25-34,Women,396990,319491,415505,105586,60675,124528,3000
CR029,Creator_29,DIY,Yes,Mexico,18-24,Women,317685,287806,368811,73882,73755,81208,3000
CR030,Creator_30,Tech/Education,Yes,Colombia,18-24,Women,432596,299306,389001,105155,37945,105217,3000
CR031,Creator_31,Music,Yes,Peru,18-24,Women,472045,408766,441768,64535,59873,194917,3000
CR032,Creator_32,Tech/Education,Yes,Chile,18-24,Women,394354,216258,420547,58974,33703,107441,3000
CR033,Creator_33,Tech/Education,Yes,Colombia,18-24,Men,464792,143940,290185,65082,14540,84852,3000
CR034,Creator_34,Tech Reviews,Yes,Peru,18-24,Men,475464,302850,472318,131136,50051,181015,3000
CR035,Creator_35,Fitness,Yes,Peru,18-24,Men,421288,278098,463631,114747,61181,84645,3000
CR036,Creator_36,Sports,Yes,Argentina,18-24,Women,364225,414354,160126,48366,94918,74666,3000
CR037,Creator_37,Tech Reviews,Yes,Peru,25-34,Women,303106,143874,573403,73822,35574,167164,3000
CR038,Creator_38,Comedy,No,Colombia,25-34,Women,792535,374326,501113,190434,57391,189928,3000
CR039,Creator_39,News/Commentary,Yes,Argentina,18-24,Men,426313,331306,602848,120908,34101,88830,3000
CR040,Creator_40,Food,Yes,Argentina,18-24,Men,276955,154734,319557,97258,13366,61786,3000
CR041,Creator_41,Kids/Education,Yes,Colombia,25-34,Women,164857,139724,150284,35132,23978,31822,3000
CR042,Creator_42,Education,No,Colombia,18-24,Men,500400,153801,461705,82075,38983,173409,3000
CR043,Creator_43,Kids/Education,Yes,Chile,25-34,Women,84154,346537,659370,23837,73758,238676,3000
CR044,Creator_44,Sports,Yes,Mexico,35-44,Women,303021,272493,574669,72264,83200,120431,3000
CR045,Creator_45,Beauty,Yes,Peru,18-24,Mixed,426117,316092,638387,129712,37805,219619,3000
CR046,Creator_46,Food,Yes,Chile,18-24,Men,334347,272648,319553,83223,69497,63346,3000
CR047,Creator_47,Sustainability,Yes,Argentina,18-24,Women,269910,118230,456483,58264,7043,111902,3000
CR048,Creator_48,Lifestyle,Yes,Argentina,18-24,Mixed,403896,284010,700309,84214,55384,188880,3000
CR049,Creator_49,Beauty,Yes,Mexico,18-24,Women,402091,389535,663015,50044,62003,155956,3000
CR050,Creator_50,Wellness,Yes,Argentina,18-24,Men,307200,91531,433160,75972,19622,76229,3000
