City,Population,Median_Income_MXN,Grocery_Stores_Count,Tourism_Index,Logistics_Score,Rent_Index,Online_Penetration_%
Mérida,1250000,15500,420,68,82,58,64
Campeche,330000,14000,120,55,70,45,52
Chetumal,220000,13500,95,60,66,40,48
Cancún,930000,16500,380,95,78,72,70
Playa del Carmen,350000,16000,150,90,74,68,66
Villahermosa,910000,14500,300,50,76,52,56
Tuxtla Gutiérrez,860000,13800,280,48,72,46,50
Cozumel,100000,15800,60,88,68,60,62
Tulum,150000,16200,85,92,70,66,65
Ciudad del Carmen,200000,15000,110,65,71,49,55
Puerto Morelos,45000,15500,25,86,66,58,60
Bacalar,60000,14000,30,82,60,44,52
