age,father_education,mother_education,school_type,scholarship,smoking_frequency,study_hours_extra,extracurricular,work_hours,math_grade,language_grade,aptitude_score
20,posgrado,universidad,publico,0,no_fuma,<5,social,4.3,66.2,73.5,1300.0
21,bachillerato,primaria,publico,0,fumador_ocasional,15+,deportiva,3.3,81.6,64.3,1300.0
19,bachillerato,primaria,privado,0,no_fuma,15+,deportiva,19.2,71.1,86.3,1276.0
21,posgrado,sin_estudios,publico,0,fuma_poco,<5,cultural,16.5,54.3,74.5,1194.0
21,universidad,posgrado,privado,0,no_fuma,<10,deportiva,10.4,86.7,79.6,1300.0
18,primaria,universidad,privado,1,no_fuma,<5,deportiva,2.8,67.2,68.7,1300.0
19,bachillerato,secundaria,privado,1,fumador_constante,<10,deportiva,12.9,66.5,81.9,1300.0
19,bachillerato,secundaria,privado,1,no_fuma,15+,cultural,0.0,71.0,71.1,1300.0
19,secundaria,secundaria,publico,0,fumador_ocasional,<10,cultural,13.4,77.7,76.7,1266.0
21,universidad,universidad,privado,1,no_fuma,<5,social,20.7,74.4,85.9,1300.0
20,posgrado,bachillerato,privado,0,no_fuma,<10,cultural,0.0,80.5,85.1,1300.0
19,posgrado,secundaria,publico,0,fumador_constante,15+,cultural,0.0,61.6,77.8,1300.0
21,bachillerato,secundaria,publico,0,no_fuma,<15,deportiva,27.8,67.6,62.1,1267.0
18,primaria,primaria,privado,0,fumador_ocasional,<10,deportiva,5.9,73.8,100.0,1300.0
20,posgrado,bachillerato,publico,0,no_fuma,<5,social,23.4,94.0,93.7,1300.0
18,universidad,universidad,publico,0,fumador_ocasional,15+,deportiva,10.5,73.9,84.5,1300.0
20,primaria,secundaria,privado,0,no_fuma,15+,deportiva,10.4,85.9,71.2,1300.0
21,posgrado,sin_estudios,publico,0,no_fuma,<10,social,16.4,75.4,77.0,1285.0
17,universidad,primaria,publico,0,fumador_ocasional,<5,cultural,3.2,70.2,73.1,1228.0
20,bachillerato,posgrado,privado,0,fumador_constante,<5,deportiva,13.3,72.5,89.4,1300.0
18,bachillerato,secundaria,publico,0,fumador_constante,<5,deportiva,8.2,73.3,80.4,1300.0
21,secundaria,universidad,publico,1,fumador_ocasional,<15,social,0.0,81.0,70.9,1288.0
