User_ID,Variant,Clicks,Conversions
2721,A,3,0
2241,A,2,0
9808,A,16,0
3804,A,3,0
4391,A,9,0
5882,A,11,0
5489,A,13,0
2334,A,12,0
8671,A,19,0
2440,A,10,0
2220,A,9,0
4061,A,16,0
4254,A,3,0
5570,A,1,0
72,A,13,0
1142,A,10,0
4345,A,9,0
7847,A,18,0
3567,A,18,0
6689,A,2,0
9113,A,9,0
7524,A,11,0
6284,A,2,0
4743,A,17,0
4829,A,17,0
1220,A,18,0
4926,A,5,0
3459,A,13,0
8674,A,13,0
1092,A,7,0
1198,A,1,0
7880,A,15,0
5219,A,15,0
5244,A,0,0
1767,A,8,0
2005,A,4,0
4932,A,1,0
7169,A,2,0
1965,A,2,0
4022,A,17,0
3683,A,6,0
6435,A,5,0
4908,A,3,0
741,A,11,0
1833,A,4,0
7024,A,7,0
6259,A,8,0
7779,A,4,0
1320,A,2,0
7319,A,19,0
4477,A,17,0
3143,A,3,0
6859,A,17,0
5658,A,18,0
9420,A,14,0
5761,A,13,1
6848,A,12,0
5305,A,12,0
5329,A,3,0
7392,A,13,0
8267,A,5,0
6418,A,9,0
3999,A,10,0
2439,A,13,0
1773,A,5,1
7735,A,19,0
5393,A,5,0
7429,A,17,0
3627,A,6,0
2872,A,11,0
4017,A,1,0
4754,A,2,0
3900,A,19,0
411,A,15,0
3203,A,5,0
9342,A,17,0
4809,A,2,0
8413,A,0,0
5932,A,1,0
9211,A,16,0
9926,A,15,0
8517,A,9,0
1467,A,19,0
9170,A,3,0
1490,A,9,0
5454,A,15,0
7247,A,4,0
2416,A,0,0
1275,A,10,0
6198,A,4,0
2175,A,13,0
9153,A,8,0
9105,A,13,1
4010,A,10,0
5893,A,11,0
6597,A,13,0
5998,A,1,0
9479,A,14,0
642,A,2,0
6464,A,8,0
9137,A,11,0
5960,A,0,0
9114,A,12,0
128,A,9,0
9947,A,7,0
5084,A,11,0
6364,A,10,0
5115,A,7,0
6531,A,7,0
2077,A,4,0
7816,A,15,0
4419,A,15,0
8278,A,10,0
3456,A,1,0
7521,A,11,0
6906,A,6,0
6178,A,15,0
148,A,6,0
5178,A,13,1
1939,A,0,0
8552,A,15,0
807,A,10,0
9396,A,15,0
2505,A,1,0
576,A,5,0
9192,A,19,0
6143,A,19,0
5954,A,13,0
3153,A,12,0
6635,A,4,0
1783,A,19,0
1314,A,12,0
8316,A,18,0
4722,A,3,0
8637,A,11,0
306,A,16,1
2230,A,2,0
600,A,15,0
8333,A,12,0
2774,A,3,0
8158,A,7,0
3317,A,6,0
6992,A,10,0
9251,A,2,0
3110,A,4,0
9039,A,17,0
3781,A,13,0
1134,A,18,0
6303,A,19,0
9041,A,5,0
1796,A,3,1
9454,A,15,0
7758,A,9,0
5801,A,19,0
7872,A,3,0
146,A,1,0
4047,A,4,0
977,A,9,0
5321,A,11,0
272,A,11,0
7898,A,7,0
7430,A,13,0
8327,A,17,0
7097,A,5,0
9948,A,14,0
9138,A,10,0
3969,A,19,0
2410,A,4,0
2042,A,18,0
3495,A,17,0
5301,A,9,0
7589,A,15,0
6219,A,5,0
4920,A,2,0
4735,A,2,0
2142,A,5,0
589,A,6,0
6420,A,0,0
5112,A,13,0
1422,A,1,0
6377,A,11,0
2268,A,12,0
869,A,0,0
7801,A,9,0
2199,A,19,0
350,A,18,0
4019,A,8,0
5456,A,3,0
4139,A,5,0
1652,A,1,0
4968,A,1,0
4746,A,9,0
263,A,15,0
8664,A,3,0
2026,A,12,0
5016,A,7,0
1239,A,12,0
9227,A,1,0
8397,A,12,0
2323,A,14,0
