uuid_interaction,transaction_ts,items,amount
af174f1b-43c0-5a1d-ac24-4391b57eeccf,2025-05-23 06:06:32.034402,7,2593
cc6c384e-86c5-5dba-8afd-04390658994a,2025-05-19 17:36:59.034402,8,1118
d85c5e59-f957-5277-a317-81c26bfaa84b,2025-05-11 23:51:47.034402,7,2535
9e1c541b-3503-5807-8978-5577b2b3498a,2025-05-11 13:43:10.034402,6,2515
f0f90088-b8ed-5ad8-9ffe-ebd1a14a7d96,2025-05-31 20:04:21.034402,9,296
e5fc76f9-d355-5b89-8063-172b890d13e7,2025-05-09 00:56:39.034402,15,2648
52189434-1903-55eb-b0c9-3af02541fbf3,2025-05-19 01:20:23.034402,2,198
7f5a3df4-6c9c-5e12-9c10-4354c00fe4f1,2025-05-28 02:22:27.034402,12,3272
d93fabf8-bba2-572f-b309-4a980f1b5197,2025-06-06 01:08:03.034402,14,4578
879208c5-ac73-529a-a70b-ccc166593fc2,2025-06-09 02:18:27.034402,7,493
be8c27f7-5e42-5475-83ab-80d8165a38f9,2025-05-22 21:20:16.034402,6,2394
9de3ef54-2dc8-5e8a-b990-932032ff684f,2025-05-21 02:22:43.034402,12,2580
611463d8-10d9-5b5b-b5cf-7de371088887,2025-06-05 05:50:25.034402,3,597
39aff9dc-34e5-579a-95b6-92a8d5b9b89c,2025-06-03 00:57:15.034402,6,294
697a093a-60ed-5d03-bb5a-ff7cbb71b76d,2025-06-15 01:55:00.034402,6,120
2a3b072b-0cd8-57e0-8399-3481c9df1419,2025-05-13 03:51:54.034402,13,1692
f84c70a8-e377-5d46-97d0-bd58159aed48,2025-05-21 08:40:23.034402,11,1923
59e30d20-a706-5cb4-8134-6bccada76ad7,2025-05-21 13:31:06.034402,7,2593
4c7e2857-8e67-548f-a871-b5ee58f1c002,2025-05-26 05:19:04.034402,7,977
40e1f28b-6be9-545f-98d2-74bb628f6e7b,2025-06-13 20:55:58.034402,8,1542
32bc528e-5d76-56ec-b672-505b86f647a9,2025-05-08 00:14:35.034402,13,1892
0b698d72-f62b-59a1-9185-430a1c6f06d8,2025-05-14 14:28:42.034402,12,2072
ef2c33fc-14fb-53b8-bab1-00f349b67fd2,2025-06-08 14:20:28.034402,12,3143
