pais,capital,poblacion_millones,idioma,region
México,Ciudad de México,129,Español,América del Norte
Estados Unidos,Washington D.C.,334,Inglés,América del Norte
Canadá,Ottawa,39,Inglés / Francés,América del Norte
Brasil,Brasilia,203,Portugués,América del Sur
Argentina,Buenos Aires,46,Español,América del Sur
Colombia,Bogotá,52,Español,América del Sur
Chile,Santiago,20,Español,América del Sur
Perú,Lima,34,Español,América del Sur
Cuba,La Habana,11,Español,Caribe
República Dominicana,Santo Domingo,11,Español,Caribe
